House ID,Location,Number of Bedrooms,Square Footage,Price
1,Suburban,3,1800,"$350,000"
2,Urban,2,1200,"$280,000"
3,Rural,4,2500,"$400,000"
4,Suburban,3,1600,"$320,000"
5,Urban,1,800,"$200,000"
6,Rural,5,3000,"$450,000"
7,Suburban,2,1400,"$290,000"
8,Urban,3,1600,"$310,000"
9,Rural,4,2800,"$420,000"
10,Suburban,3,1700,"$330,000"
11,Urban,2,1100,"$270,000"
12,Rural,5,3200,"$470,000"
13,Suburban,3,1500,"$900,000"
14,Urban,1,900,"$210,000"
15,Rural,4,9600,"$410,000"
16,Suburban,3,1800,"$340,000"
17,Urban,2,1200,"$280,000"
18,Rural,5,2500,"$400,000"
19,Suburban,3,1600,"$320,000"
20,Urban,1,800,"$200,000"
21,Rural,4,3000,"$950,000"
22,Suburban,2,1400,"$290,000"
23,Urban,3,1600,"$310,000"
24,Rural,4,2800,"$420,000"
25,Suburban,3,1700,"$330,000"
